Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Size (KB),Description,Language,Repo URL
1,flutter,173741,29455,173741,12335,06/03/2015,07/11/2025,405.48 MB,415210,Flutter makes it easy and fast to build beautiful apps for mobile and beyond,Dart,https://github.com/flutter/flutter
2,localsend,69917,3738,69917,797,16/12/2022,01/11/2025,16.73 MB,17127,An open-source cross-platform alternative to AirDrop,Dart,https://github.com/localsend/localsend
3,AppFlowy,66356,4705,66356,1007,16/06/2021,06/11/2025,91.82 MB,94028,"Bring projects, wikis, and teams together with AI. AppFlowy is the AI collaborative workspace where you achieve more without losing control of your data. The leading open source Notion alternative.",Dart,https://github.com/AppFlowy-IO/AppFlowy
4,awesome-flutter,57859,6821,57859,11,07/05/2017,07/10/2025,3.47 MB,3551,"An awesome list that curates the best Flutter libraries, tools, tutorials, articles and more.",Dart,https://github.com/Solido/awesome-flutter
5,spotube,42236,1862,42236,664,14/02/2021,04/11/2025,141.30 MB,144691,🎧 Open source music client! Available for both desktop & mobile!,Dart,https://github.com/KRTirtho/spotube
6,FlClash,24648,1493,24648,425,15/08/2023,06/11/2025,53.78 MB,55073,"A multi-platform proxy client based on ClashMeta,simple and easy to use, open-source and ad-free.",Dart,https://github.com/chen08209/FlClash
7,revanced-manager,24162,946,24162,117,18/03/2022,01/11/2025,26.27 MB,26900,💊 Application to use ReVanced on Android ,Dart,https://github.com/ReVanced/revanced-manager
8,hiddify-app,24092,2108,24092,562,21/05/2023,26/04/2025,11.54 MB,11821,"Multi-platform auto-proxy client, supporting Sing-box, X-ray, TUIC, Hysteria, Reality, Trojan, SSH etc. It’s an open-source, secure and ad-free.",Dart,https://github.com/hiddify/hiddify-app
9,flutter-go,23715,3792,23715,192,08/01/2019,11/12/2023,114.95 MB,117712,flutter 开发者帮助 APP，包含 flutter 常用 140+ 组件的demo 演示与中文文档,Dart,https://github.com/alibaba/flutter-go
10,ente,22662,1317,22662,449,01/11/2022,06/11/2025,606.36 MB,620917,"🔒 End-to-end encrypted cloud for photos, videos and 2FA secrets.",Dart,https://github.com/ente-io/ente
11,Best-Flutter-UI-Templates,22221,4786,22221,15,02/09/2019,27/07/2025,173.99 MB,178165,completely free for everyone. Its build-in Flutter Dart.,Dart,https://github.com/mitesh77/Best-Flutter-UI-Templates
12,gopeed,21338,1480,21338,232,21/04/2019,15/10/2025,4.72 MB,4833,A modern download manager that supports all platforms.  Built with Golang and Flutter.,Dart,https://github.com/GopeedLab/gopeed
13,FlutterExampleApps,21335,3825,21335,37,13/04/2018,09/08/2024,110.25 MB,112899,"[Example APPS] Basic Flutter apps, for flutter devs.",Dart,https://github.com/iampawan/FlutterExampleApps
14,samples,18703,7796,18703,59,08/06/2018,28/10/2025,436.11 MB,446574,A collection of Flutter examples and demos,Dart,https://github.com/flutter/samples
15,plugins,17658,9738,17658,1,18/04/2017,22/02/2023,35.35 MB,36203,Plugins for Flutter maintained by the Flutter team,Dart,https://github.com/flutter/plugins
16,Kazumi,17567,507,17567,297,09/05/2024,06/11/2025,26.01 MB,26636,基于自定义规则的番剧采集APP，支持流媒体在线观看，支持弹幕，支持实时超分辨率。,Dart,https://github.com/Predidit/Kazumi
17,gsy_github_app_flutter,15293,2601,15293,4,25/07/2018,03/11/2025,36.05 MB,36920,Flutter 超完整的开源项目，功能丰富，适合学习和日常使用。GSYGithubApp系列的优势：我们目前已经拥有Flutter、Weex、ReactNative、kotlin 四个版本。 功能齐全，项目框架内技术涉及面广，完成度高，持续维护，配套文章，适合全面学习，对比参考。跨平台的开源Github客户端App，更好的体验，更丰富的功能，旨在更好的日常管理和维护个人Github，提供更好更方便的驾车体验Σ(￣。￣ﾉ)ﾉ。同款Weex版本 ： https://github.com/CarGuo/GSYGithubAppWeex    、同款React Native版本 ： https://github.com/CarGuo/GSYGithubApp 、原生 kotlin 版本 https://github.com/CarGuo/GSYGithubAppKotlin,Dart,https://github.com/CarGuo/gsy_github_app_flutter
18,dart_simple_live,13843,1719,13843,260,27/02/2023,31/10/2025,17.08 MB,17487,简简单单的看直播,Dart,https://github.com/xiaoyaocz/dart_simple_live
19,Obtainium,13253,330,13253,304,11/08/2022,12/10/2025,11.13 MB,11398,Get Android app updates straight from the source.,Dart,https://github.com/ImranR98/Obtainium
20,pilipala,12779,915,12779,758,18/04/2023,14/05/2025,17.29 MB,17701,PiliPala 是使用Flutter开发的BiliBili第三方客户端，感谢使用。,Dart,https://github.com/guozhigq/pilipala
21,dio,12748,1548,12748,38,20/04/2018,03/11/2025,4.58 MB,4695,"A powerful HTTP client for Dart and Flutter, which supports global settings, Interceptors, FormData, aborting and canceling a request, files uploading and downloading, requests timeout, custom adapters, etc.",Dart,https://github.com/cfug/dio
22,opensource-ecommerce-mobile-app,12399,219,12399,0,25/10/2023,19/09/2025,4.67 MB,4779,"This open-source mobile ecommerce app seamlessly transforms your Bagisto store into a powerful mobile platform, providing real-time synchronization of products and categories. ",Dart,https://github.com/bagisto/opensource-ecommerce-mobile-app
23,bloc,12313,3423,12313,73,07/10/2018,01/11/2025,63.83 MB,65357,A predictable state management library that helps implement the BLoC design pattern,Dart,https://github.com/felangel/bloc
24,getx,11027,1700,11027,1145,14/11/2019,16/06/2025,33.65 MB,34456,"Open screens/snackbars/dialogs/bottomSheets without context, manage states and inject dependencies easily with Get.",Dart,https://github.com/jonataslaw/getx
25,proxypin,10917,946,10917,63,05/06/2023,03/11/2025,9.45 MB,9681,"Open source free capture HTTP(S) traffic  software ProxyPin, supporting full platform systems",Dart,https://github.com/wanghongenpin/proxypin
26,sdk,10881,1702,10881,8386,16/05/2015,07/11/2025,1.48 GB,1553533,"The Dart SDK, including the VM, JS and Wasm compilers, analysis, core libraries, and more.",Dart,https://github.com/dart-lang/sdk
27,flame,10250,994,10250,119,22/10/2017,06/11/2025,65.60 MB,67171,A Flutter based game engine.,Dart,https://github.com/flame-engine/flame
28,pixez-flutter,10074,380,10074,463,02/11/2019,26/10/2025,184.56 MB,188992,一个支持免代理直连及查看动图的第三方Pixiv flutter客户端,Dart,https://github.com/Notsfsssf/pixez-flutter
29,flutterfire,9071,4088,9071,194,14/08/2019,06/11/2025,64.09 MB,65625,🔥 A collection of Firebase plugins for Flutter apps.,Dart,https://github.com/firebase/flutterfire
30,FlutterDouBan,9058,1886,9058,53,21/01/2019,20/03/2024,155.43 MB,159159,"🔥🔥🔥Flutter豆瓣客户端,Awesome Flutter Project,全网最100%还原豆瓣客户端。首页、书影音、小组、市集及个人中心，一个不拉。（ https://img.xuvip.top/douyademo.mp4）",Dart,https://github.com/kaina404/FlutterDouBan
31,flutter_architecture_samples,8879,1721,8879,46,25/11/2017,06/11/2025,5.86 MB,6000,TodoMVC for Flutter,Dart,https://github.com/brianegan/flutter_architecture_samples
32,FlutterUnit,8659,1382,8659,66,19/03/2020,14/09/2025,45.85 MB,46952,All Platform Flutter Experience App ,Dart,https://github.com/toly1994328/FlutterUnit
33,keyviz,8480,287,8480,72,22/07/2022,27/08/2025,3.96 MB,4052,Keyviz is a free and open-source tool to visualize your keystrokes ⌨️ and 🖱️ mouse actions in real-time.,Dart,https://github.com/mulaRahul/keyviz
34,PicaComic,8439,1024,8439,56,06/02/2023,21/12/2024,111.31 MB,113983,"A comic app built with Flutter, supporting multiple comic sources.",Dart,https://github.com/wgh136/PicaComic
35,flutter_deer,8422,1733,8422,2,12/06/2019,17/08/2025,78.50 MB,80389,🦌 Flutter 练习项目(包括集成测试、可访问性测试)。内含完整UI设计图，更贴近真实项目的练习。Flutter practice project (including integration testing and accessibility testing). Contains complete UI design drawings for a more realistic practice project.,Dart,https://github.com/simplezhli/flutter_deer
36,karing,7788,682,7788,18,06/11/2023,06/11/2025,89.59 MB,91738,"Simple & Powerful proxy utility, Support routing rules for clash/sing-box",Dart,https://github.com/KaringX/karing
37,pikapika,7622,473,7622,42,27/07/2021,08/09/2025,7.34 MB,7515,A comic browser，support Android / iOS / MacOS / Windows / Linux.,Dart,https://github.com/ComicSparks/pikapika
38,fl_chart,7341,1935,7341,395,12/05/2019,01/10/2025,79.28 MB,81187,"FL Chart is a highly customizable Flutter chart library that supports Line Chart, Bar Chart, Pie Chart, Scatter Chart, Radar Chart and Candlestick Chart.",Dart,https://github.com/imaNNeo/fl_chart
39,fish-redux,7308,843,7308,165,05/03/2019,17/02/2022,833.00 KB,833,An assembled flutter application framework.,Dart,https://github.com/alibaba/fish-redux
40,Flutter-Notebook,7222,1194,7222,0,26/07/2018,14/04/2021,51.29 MB,52523,FlutterDemo合集，今天你fu了吗,Dart,https://github.com/OpenFlutter/Flutter-Notebook
41,flutter_boost,7157,1252,7157,399,06/03/2019,01/11/2024,207.11 MB,212084,FlutterBoost is a Flutter plugin which enables hybrid integration of Flutter for your existing native apps with minimum efforts,Dart,https://github.com/alibaba/flutter_boost
42,flutter-examples,7131,1663,7131,15,11/08/2017,27/05/2024,94.27 MB,96535,"[Examples] Simple basic isolated apps, for budding flutter devs.",Dart,https://github.com/nisrulz/flutter-examples
43,flutter_server_box,7059,455,7059,88,13/09/2021,30/10/2025,20.70 MB,21193,ServerBox - server status & toolbox,Dart,https://github.com/lollipopkit/flutter_server_box
44,Flutter-Responsive-Admin-Panel-or-Dashboard,7053,1995,7053,32,03/05/2021,10/08/2024,32.19 MB,32965,Responsive Admin Panel or Dashboard using Flutter,Dart,https://github.com/abuanwar072/Flutter-Responsive-Admin-Panel-or-Dashboard
45,PiliPlus,7039,374,7039,8,22/08/2024,28/10/2025,36.79 MB,37668,PiliPlus,Dart,https://github.com/bggRGjQaUbCoE/PiliPlus
46,riverpod,6977,1041,6977,126,16/04/2020,06/11/2025,37.57 MB,38473,A reactive caching and data-binding framework.   Riverpod makes working with asynchronous code a breeze.,Dart,https://github.com/rrousselGit/riverpod
47,aidea,6888,1044,6888,23,30/08/2023,03/08/2025,78.25 MB,80130,AIdea 是一款支持 GPT  以及国产大语言模型通义千问、文心一言等，支持 Stable Diffusion 文生图、图生图、 SDXL1.0、超分辨率、图片上色的全能型 APP。,Dart,https://github.com/mylxsw/aidea
48,flutter-tips-and-tricks,6851,1110,6851,8,29/03/2021,10/09/2023,429.77 MB,440088,A Collection of Flutter and Dart Tips and Tricks,Dart,https://github.com/vandadnp/flutter-tips-and-tricks
49,HistoryOfEverything,6580,993,6580,55,29/09/2018,22/09/2021,10.22 MB,10469,Flutter Launch Timeline Demo,Dart,https://github.com/2d-inc/HistoryOfEverything
50,gallery,6549,1548,6549,48,05/03/2020,13/06/2024,52.99 MB,54257,Flutter Gallery was a resource to help developers evaluate and use Flutter,Dart,https://github.com/flutter/gallery
51,Flutter-UI-Kit,6286,1161,6286,12,21/06/2018,13/06/2022,54.63 MB,55942,Flutter app for collection of UI in a UIKit,Dart,https://github.com/iampawan/Flutter-UI-Kit
52,anx-reader,6215,392,6215,151,28/03/2024,05/11/2025,137.11 MB,140403,"Featuring powerful AI capabilities and supporting various e-book formats, it makes reading smarter and more focused. ",Dart,https://github.com/Anxcye/anx-reader
53,FlutterScreens,5981,1369,5981,19,14/07/2018,21/02/2024,15.10 MB,15462,"A collection of Screens and attractive UIs built with Flutter ready to be used in your applications. No external libraries are used. Just download, add to your project and use.",Dart,https://github.com/samarthagarwal/FlutterScreens
54,flukit,5904,665,5904,18,21/09/2018,20/05/2024,70.73 MB,72424," A Flutter UI Kit（一个 Flutter UI组件库），包含 ScaleView, Swiper, PullRefresh, WaterMark, GradientCircularProgressIndicator...",Dart,https://github.com/flutterchina/flukit
55,flutter_wanandroid,5672,1230,5672,14,27/09/2018,21/05/2021,2.04 MB,2090,🔥🔥🔥  基于Google Flutter的WanAndroid客户端，支持Android和iOS。包括BLoC、RxDart 、国际化、主题色、启动页、引导页！,Dart,https://github.com/Sky24n/flutter_wanandroid
56,Flutter-learning,5420,838,5420,15,24/05/2018,12/02/2022,8.11 MB,8305,":octocat::fire: :+1:  :star2:  :star: :star::star: Flutter all you want.Flutter install,flutter samples,Flutter projects,Flutter plugin,Flutter problems,Dart codes,etc.Flutter安装和配置，Flutter开发遇到的难题，Flutter示例代码和模板，Flutter项目实战，Dart语言学习示例代码。",Dart,https://github.com/AweiLoveAndroid/Flutter-learning
57,provider,5233,527,5233,37,19/10/2018,19/08/2025,1.37 MB,1407,"InheritedWidgets, but simple",Dart,https://github.com/rrousselGit/provider
58,fvm,5229,268,5229,59,22/02/2019,06/11/2025,12.94 MB,13249,Flutter Version Management: A simple CLI to manage Flutter SDK versions.,Dart,https://github.com/leoafarias/fvm
59,GooglePhotosTakeoutHelper,5212,272,5212,67,02/04/2020,29/01/2025,614.00 KB,614,Script that organizes the Google Takeout archive into one big chronological folder,Dart,https://github.com/TheLastGimbus/GooglePhotosTakeoutHelper
60,miru-app,5153,222,5153,132,27/04/2023,28/05/2024,20.67 MB,21165,"🎉 A versatile application that is free, open-source, and supports extension sources for videos, comics, and novels, available on Android, Windows, and Web platforms.",Dart,https://github.com/miru-project/miru-app
61,packages,5008,3515,5008,63,01/08/2017,06/11/2025,152.99 MB,156659,A collection of useful packages maintained by the Flutter team,Dart,https://github.com/flutter/packages
62,flutter_rust_bridge,4929,363,4929,19,04/10/2021,04/11/2025,330.18 MB,338104,"Flutter/Dart <-> Rust binding generator, feature-rich, but seamless and simple.",Dart,https://github.com/fzyzcjy/flutter_rust_bridge
63,venera,4922,156,4922,68,29/09/2024,02/11/2025,6.35 MB,6503,A comic app,Dart,https://github.com/venera-app/venera
64,flutter-tutorials,4788,1737,4788,50,07/03/2019,25/04/2023,3.44 MB,3525,The repo contains the source code for all the tutorials on the FilledStacks Youtube channel.,Dart,https://github.com/FilledStacks/flutter-tutorials
65,getwidget,4743,648,4743,20,11/12/2019,09/09/2025,17.81 MB,18236,Most popular and easy to use open source UI library with 1000+ Widgets to build flutter app. ,Dart,https://github.com/ionicfirebaseapp/getwidget
66,flutter_vignettes,4736,1022,4736,5,13/11/2019,30/04/2024,36.18 MB,37052,"A collection of fun Flutter experiments, created by gskinner, in partnership with Google.",Dart,https://github.com/gskinnerTeam/flutter_vignettes
67,flutter_ui_challenges,4727,1408,4727,1,16/12/2018,18/08/2024,255.49 MB,261617,"Updated for Flutter 3.x ** 100+ Professional UI implementations with Code in Flutter. Available in Android, iOS, Linux and Web",Dart,https://github.com/lohanidamodar/flutter_ui_challenges
68,E-commerce-Complete-Flutter-UI,4606,1926,4606,34,06/08/2020,23/08/2024,125.32 MB,128329,The FlutterShop template makes it easier to develop an e-commerce app using Flutter. It includes all the necessary pages to build a shopping app for both Android and iOS using flutter.,Dart,https://github.com/abuanwar072/E-commerce-Complete-Flutter-UI
69,jasmine,4576,335,4576,17,02/01/2022,23/10/2025,4.94 MB,5056,A comic browser，support Android / iOS / MacOS / Windows / Linux. ,Dart,https://github.com/ComicSparks/jasmine
70,JHenTai,4375,120,4375,140,17/03/2022,20/10/2025,62.11 MB,63603,A cross-platform manga app made for e-hentai & exhentai by Flutter,Dart,https://github.com/jiangtian616/JHenTai
71,flutter-wonderous-app,4355,1014,4355,29,29/08/2022,31/10/2025,86.36 MB,88436,A showcase app for the Flutter SDK. Wonderous will educate and entertain as you uncover information about some of the most famous structures in the world.,Dart,https://github.com/gskinnerTeam/flutter-wonderous-app
72,hive,4349,447,4349,566,08/07/2019,28/06/2024,1.13 MB,1159,Lightweight and blazing fast key-value database written in pure Dart.,Dart,https://github.com/isar/hive
73,namida,4272,232,4272,129,12/02/2023,03/11/2025,92.24 MB,94451,"A Beautiful and Feature-rich Music & Video Player with Youtube Support, Built in Flutter",Dart,https://github.com/namidaco/namida
74,open-source-flutter-apps,4234,779,4234,0,29/08/2017,29/04/2025,7.31 MB,7490,:iphone: List of open source Flutter applications :octocat:,Dart,https://github.com/tortuvshin/open-source-flutter-apps
75,harmonoid,4173,230,4173,92,04/08/2020,03/11/2025,40.90 MB,41878,🎵 Plays & manages your music library. Looks beautiful & juicy.,Dart,https://github.com/harmonoid/harmonoid
76,flutter_twitter_clone,4173,1160,4173,35,25/12/2019,31/07/2024,17.41 MB,17826,Fully functional Twitter clone built in  flutter framework using Firebase realtime database and storage,Dart,https://github.com/TheAlphamerc/flutter_twitter_clone
77,dart-sass,4143,371,4143,75,31/10/2016,05/11/2025,8.33 MB,8526,"The reference implementation of Sass, written in Dart.",Dart,https://github.com/sass/dart-sass
78,aves,4078,148,4078,149,04/08/2019,05/11/2025,377.71 MB,386778,"Aves is a gallery and metadata explorer app, built for Android with Flutter.",Dart,https://github.com/deckerst/aves
79,wsa_pacman,4068,854,4068,60,01/11/2021,22/12/2023,54.52 MB,55831,A GUI package manager and package installer for Windows Subsystem for Android (WSA),Dart,https://github.com/alesimula/wsa_pacman
80,flutter_easy_refresh,4033,661,4033,88,28/11/2018,02/08/2025,382.32 MB,391496,A flutter widget that provides pull-down refresh and pull-up load.,Dart,https://github.com/xuelongqy/flutter_easy_refresh
81,flutter_screenutil,4018,505,4018,29,20/09/2018,23/06/2025,3.82 MB,3913,"Flutter screen adaptation, font adaptation, get screen information",Dart,https://github.com/OpenFlutter/flutter_screenutil
82,isar,3947,576,3947,177,10/06/2020,14/06/2025,36.97 MB,37854,"Extremely fast, easy to use, and fully async NoSQL database for Flutter",Dart,https://github.com/isar/isar
83,GitJournal,3938,270,3938,129,10/01/2019,19/10/2025,12.58 MB,12883,Mobile first Note Taking integrated with Git,Dart,https://github.com/GitJournal/GitJournal
84,flutter-folio,3924,803,3924,42,02/03/2021,30/08/2022,14.99 MB,15348,"A platform adaptive Flutter app for desktop, mobile and web.",Dart,https://github.com/gskinnerTeam/flutter-folio
85,flutter-ui-nice,3789,608,3789,9,22/12/2018,16/05/2023,27.31 MB,27967,More than 130+ pages in this beautiful app and more than 45 developers has contributed to it.,Dart,https://github.com/FlutterOpen/flutter-ui-nice
86,saber,3729,229,3729,326,22/07/2022,06/11/2025,356.02 MB,364567,The cross-platform open-source app built for handwriting,Dart,https://github.com/saber-notes/saber
87,fluro,3714,414,3714,43,25/04/2017,22/03/2023,1.10 MB,1130,"Fluro is a Flutter routing library that adds flexible routing options like wildcards, named parameters and clear route definitions.",Dart,https://github.com/lukepighetti/fluro
88,Cashew,3691,549,3691,18,15/09/2021,14/06/2025,141.74 MB,145138,💸 An app created to help users manage a budget and purchases,Dart,https://github.com/jameskokoska/Cashew
89,inKino,3675,706,3675,28,21/02/2018,30/03/2022,31.70 MB,32460,A multiplatform Dart movie app with 40% of code sharing between Flutter and the Web.,Dart,https://github.com/roughike/inKino
90,flutter_inappwebview,3632,1962,3632,310,14/09/2018,05/10/2025,12.52 MB,12820,"A Flutter plugin that allows you to add an inline webview, to use a headless webview, and to open an in-app browser window.",Dart,https://github.com/pichillilorenzo/flutter_inappwebview
91,flutter_swiper,3536,733,3536,239,19/05/2018,23/04/2023,6.25 MB,6397,"The best swiper for flutter , with multiple layouts, infinite loop. Compatible with Android & iOS.",Dart,https://github.com/best-flutter/flutter_swiper
92,bruno,3436,520,3436,87,07/12/2021,10/01/2025,162.37 MB,166265,An enterprise-class package of Flutter components for mobile applications. ( Bruno 是基于一整套设计体系的 Flutter 组件库。),Dart,https://github.com/LianjiaTech/bruno
93,rxdart,3429,277,3429,60,20/10/2015,27/10/2025,3.64 MB,3730,The Reactive Extensions for Dart,Dart,https://github.com/ReactiveX/rxdart
94,Musify,3401,311,3401,13,05/12/2021,06/11/2025,32.97 MB,33762,Unlock the full potential of music: Stream effortlessly with one app!,Dart,https://github.com/gokadzev/Musify
95,flutter_ecommerce_app,3373,1229,3373,3,01/03/2020,10/02/2022,2.37 MB,2427,E-Commerce App built in flutter,Dart,https://github.com/TheAlphamerc/flutter_ecommerce_app
96,fluent_ui,3342,498,3342,62,19/12/2020,23/09/2025,17.17 MB,17582,Implements Microsoft's WinUI3 in Flutter.,Dart,https://github.com/bdlukaa/fluent_ui
97,finamp,3329,210,3329,243,31/08/2020,06/11/2025,42.41 MB,43432,A Jellyfin music client for mobile,Dart,https://github.com/jmshrv/finamp
98,zhihu-flutter,3309,572,3309,10,04/06/2018,04/08/2022,3.08 MB,3155,Flutter 高仿知乎 UI，非常漂亮，也非常流畅。,Dart,https://github.com/xujiyou/zhihu-flutter
99,gsy_flutter_demo,3298,523,3298,6,23/06/2019,28/09/2025,7.26 MB,7439,Flutter 不同于 GSYGithubAppFlutter 完整项目，本项目将逐步完善各种 Flutter 独立例子，方便新手学习上手和小问题方案解决。  目前开始逐步补全完善，主要提供一些有用或者有趣的例子，如果你也有好例子，欢迎提交 PR 。,Dart,https://github.com/CarGuo/gsy_flutter_demo
100,flutter_hooks,3289,189,3289,27,30/11/2018,09/09/2025,730.00 KB,730,React hooks for Flutter. Hooks are a new kind of object that manages a Widget life-cycles. They are used to increase code sharing between widgets and as a complete replacement for StatefulWidget.,Dart,https://github.com/rrousselGit/flutter_hooks
101,FlutterEbookApp,3277,926,3277,16,10/01/2020,07/08/2024,128.19 MB,131266,A simple Flutter app to Read and Download eBooks.,Dart,https://github.com/JideGuru/FlutterEbookApp
102,Eros-FE,3269,132,3269,60,13/06/2020,02/09/2025,122.42 MB,125358,An e-hentai/exhentai app make on flutter,Dart,https://github.com/3003h/Eros-FE
103,graphql-flutter,3268,641,3268,159,08/06/2018,04/11/2025,83.57 MB,85572,"A GraphQL client for Flutter, bringing all the features from a modern GraphQL client to one easy to use package.",Dart,https://github.com/zino-hofmann/graphql-flutter
104,fluwx,3266,540,3266,20,10/08/2018,06/11/2025,34.99 MB,35834,Flutter版微信SDK.WeChat SDK for flutter.,Dart,https://github.com/OpenFlutter/fluwx
105,flutter_staggered_grid_view,3215,513,3215,91,09/02/2018,05/06/2024,13.73 MB,14060,A Flutter staggered grid view,Dart,https://github.com/letsar/flutter_staggered_grid_view
106,flutter-samples,3194,750,3194,3,03/07/2018,02/11/2025,4.49 MB,4598,Flutter Samples,Dart,https://github.com/diegoveloper/flutter-samples
107,blokada,3162,226,3162,207,19/11/2016,06/11/2025,138.41 MB,141733,The official repo for Blokada apps.,Dart,https://github.com/blokadaorg/blokada
108,KeyDecoder,3153,188,3153,6,30/06/2020,04/02/2024,1.93 MB,1976,KeyDecoder app lets you use your smartphone or tablet to decode your mechanical keys in seconds.,Dart,https://github.com/MaximeBeasse/KeyDecoder
109,flutter_spinkit,3121,323,3121,15,25/06/2018,18/08/2025,3.12 MB,3200,✨ A collection of loading indicators animated with flutter. Heavily Inspired by http://tobiasahlin.com/spinkit.,Dart,https://github.com/jogboms/flutter_spinkit
110,clashmi,3078,192,3078,11,14/04/2025,06/11/2025,73.14 MB,74894,Clash Mihomo for iOS/Android,Dart,https://github.com/KaringX/clashmi
111,drift,3059,425,3059,204,03/02/2019,05/11/2025,33.78 MB,34587,"Drift is an easy to use, reactive, typesafe persistence library for Dart & Flutter.",Dart,https://github.com/simolus3/drift
112,website,3004,3362,3004,383,03/09/2015,06/11/2025,753.00 MB,771076,Flutter documentation web site,Dart,https://github.com/flutter/website
113,developer_quest,2981,557,2981,35,13/03/2019,05/05/2021,26.91 MB,27554,"Respository for the I/O 2019 demo: Become a tech lead, slay bugs, and don't get fired.",Dart,https://github.com/2d-inc/developer_quest
114,sqflite,2978,545,2978,215,22/05/2017,14/10/2025,7.06 MB,7234,SQLite flutter plugin,Dart,https://github.com/tekartik/sqflite
115,awesomefluttertips,2948,254,2948,7,02/05/2020,30/09/2022,176.32 MB,180553,❤️ Awesome Flutter Tips and Tricks  ❤️,Dart,https://github.com/erluxman/awesomefluttertips
116,flutter_map,2937,893,2937,48,26/01/2018,06/11/2025,38.09 MB,39008,"Flutter's №1 non-commercially aimed map client: it's easy-to-use, versatile, vendor-free, fully cross-platform, and 100% pure-Flutter",Dart,https://github.com/fleaflet/flutter_map
117,serverpod,2931,295,2931,574,22/05/2021,06/11/2025,17.88 MB,18305,"Serverpod is a next-generation app and web server, explicitly built for the Flutter and Dart ecosystem.",Dart,https://github.com/serverpod/serverpod
118,chromedeveditor,2918,411,2918,757,18/09/2013,16/06/2016,62.91 MB,64418,"Chrome Dev Editor is a developer tool for building apps on the Chrome platform - Chrome Apps and Web Apps, in JavaScript or Dart. (NO LONGER IN ACTIVE DEVELOPMENT)",Dart,https://github.com/googlearchive/chromedeveditor
119,AniCh,2902,85,2902,84,25/08/2024,03/07/2025,3.90 MB,3990,一个支持超分辨率的在线动漫弹幕APP。多平台，多番剧源，多弹幕，高清无广告。追番看番必备软件。,Dart,https://github.com/Sle2p/AniCh
120,flutter-osc,2900,572,2900,9,07/05/2018,07/08/2021,47.71 MB,48858,基于Google Flutter的开源中国客户端，支持Android和iOS。,Dart,https://github.com/yubo725/flutter-osc
121,flutter_hrlweibo,2879,694,2879,12,04/05/2020,22/05/2024,72.25 MB,73981,"Flutter仿微博客户端,  包含首页、视频、发现、消息(仿微博聊界面)及个人中心模块",Dart,https://github.com/huangruiLearn/flutter_hrlweibo
122,flutter_dmzj,2862,132,2862,53,02/08/2020,10/04/2025,4.69 MB,4803,动漫之家第三方Flutter客户端,Dart,https://github.com/xiaoyaocz/flutter_dmzj
123,flutter-quill,2847,991,2847,302,14/12/2020,20/10/2025,15.55 MB,15922,Rich text editor for Flutter,Dart,https://github.com/singerdmx/flutter-quill
124,flutter_slidable,2835,638,2835,173,15/07/2018,27/09/2025,9.28 MB,9502,A Flutter implementation of slidable list item with directional slide actions.,Dart,https://github.com/letsar/flutter_slidable
125,mxflutter,2819,311,2819,7,25/06/2019,31/03/2021,225.75 MB,231171,基于JavaScript 的Flutter框架 mxflutter,Dart,https://github.com/mxflutter/mxflutter
126,kitchenowl,2812,161,2812,232,03/02/2021,31/10/2025,90.80 MB,92980,KitchenOwl is a self-hosted grocery list and recipe manager. The backend is made with Flask and the frontend with Flutter. Easily add items to your shopping list before you go shopping. You can also create recipes and add items based on what you want to cook.,Dart,https://github.com/TomBursch/kitchenowl
127,shorebird,2809,189,2809,224,02/03/2023,04/11/2025,110.62 MB,113276,Code Push for Flutter and other tools for Flutter businesses.,Dart,https://github.com/shorebirdtech/shorebird
128,bili_you,2808,119,2808,124,04/02/2023,26/08/2023,14.58 MB,14929,一个用flutter制作的第三方B站客户端.,Dart,https://github.com/lucinhu/bili_you
129,charts,2795,1272,2795,481,09/03/2018,09/11/2022,5.20 MB,5328,,Dart,https://github.com/google/charts
130,flutter_shuqi,2774,679,2774,16,12/01/2019,18/12/2023,7.63 MB,7812,高仿书旗小说 Flutter版，支持iOS、Android,Dart,https://github.com/jayden320/flutter_shuqi
131,fun_android_flutter,2737,497,2737,14,07/08/2019,26/11/2023,9.94 MB,10180, 👿👿👿👿👿玩Android客户端Flutter版本。Provider的最佳实践.DarkMode、多色彩主题、国际化、切换字体、优美动画,Dart,https://github.com/phoenixsky/fun_android_flutter
132,flutter_pulltorefresh,2733,745,2733,165,01/05/2018,17/12/2023,138.13 MB,141442,a widget provided to the flutter scroll component drop-down refresh and pull up load.,Dart,https://github.com/peng8350/flutter_pulltorefresh
133,Fair,2728,320,2728,66,02/12/2020,25/10/2024,269.82 MB,276297,A Flutter package used to update widget tree dynamically. Fair提供一整套Flutter动态化解决方案,Dart,https://github.com/wuba/Fair
134,flutter-do,2720,546,2720,55,02/04/2020,31/03/2023,69.87 MB,71549,包含350多个组件用法、组件继承关系图、40多个 loading 组件，App升级、验证码、弹幕、音乐字幕 4个插件，一个小而全完整的App项目。,Dart,https://github.com/LaoMengFlutter/flutter-do
